linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,kind,fromNode,toNode,lengthM,diameterM,baselineTailAbsFlowCms,blockedTailAbsFlowCms,flowReduction,baselineMaxFullness,blockedMaxFullness,upstreamDepthDelta,downstreamDepthDelta,reverseCount,uiReverseCount,status,issues
PIPE_COMB_MAIN_01,pipe_free_1781761867795,pipeSegment,합류식 본관 01,combined,CONDUIT,PIPE_COMB_MAIN_01_station_000,connector_1781771816146_102,2105.311684624702,0.6,5.539508717231863e-05,1e-06,,0.04499895591941402,0.04499481408313716,2.2589043975450177e-07,-2.4674919019265556e-07,0,0,inconclusive_no_baseline_flow,
PIPE_INTERCEPTOR_01,pipe_free_1781754392036,pipeSegment,차집관거 01,sewer,CONDUIT,PIPE_INTERCEPTOR_01_station_000,connector_1781772244702_108,1209.342196320028,1.0,1.7603484278224026e-06,1e-06,,0.004026564989597415,0.00402677512590663,-4.5106583395096054e-09,3.836664408195218e-10,0,0,inconclusive_no_baseline_flow,
PIPE_OVERFLOW_INTERCEPTOR_DROP_01,pipe_free_1781762361073,pipeSegment,월류 차집 연결관 01,combined,CONDUIT,CONN_COMB_04,connector_1781772175449_107,695.3328191829453,0.6,0.0054515312664658545,1e-06,0.9998165653004412,0.021453019018967553,0.028478009718054868,6.234669596503265e-05,-9.850373523787644e-06,0,0,suspect,no_upstream_depth_response
PIPE_OVERFLOW_OUTFALL_PIPE_01,pipe_free_1781762108006,pipeSegment,월류 방류관 01,overflow,CONDUIT,CONN_OVERFLOW_01,CONN_OVERFLOW_02,671.6903370371938,1.0,1.4346906315567223e-07,1.4346906315567223e-07,,0.0007975790676441705,0.0007975790676441705,0.0,0.0,0,0,inconclusive_no_baseline_flow,
PIPE_SEWER_LATERAL_H_01,pipe_free_1781708303838,pipeSegment,오수 연결관 수평 01,sewer,CONDUIT,CONN_SEWER_01,ELBOW_SEWER_01,28.0,0.3,0.00499999994366657,1e-06,0.9997999999977467,0.05218540003266299,0.500077400898761,0.2572016928577519,-0.0005750013291487288,0,0,pass,
PIPE_SEWER_LATERAL_H_02,pipe_free_1781754189032,pipeSegment,오수 연결관 수평 02,sewer,CONDUIT,CONN_SEWER_02,ELBOW_SEWER_02,44.44216917210474,0.3,0.004999999573319656,1e-06,0.9997999999829328,0.05589147379613485,0.5000743507413797,0.2068361283276732,-0.0005624014032813853,0,0,pass,
PIPE_SEWER_LATERAL_H_03,pipe_free_1781761760089,pipeSegment,오수 연결관 수평 03,sewer,CONDUIT,CONN_SEWER_03,ELBOW_SEWER_03,65.34243848153164,0.3,0.004997873283838243,1e-06,0.9997999148951547,0.0604623542634929,0.44045623837164366,0.16249630658540395,-0.0005899571895795116,0,0,pass,
PIPE_SEWER_LATERAL_H_04,pipeSegment_copy_1781761822423_1,pipeSegment,오수 연결관 수평 04,sewer,CONDUIT,CONN_SEWER_04,ELBOW_SEWER_04,61.03269636177538,0.3,0.005000000000000221,1e-06,0.9998,0.05789781878992256,0.45874058962424247,0.1700256066370826,-0.000537946843885942,0,0,pass,
PIPE_SEWER_LATERAL_V_01,pipe_free_1781708355304,pipeSegment,오수 연결관 수직 01,sewer,CONDUIT,ELBOW_SEWER_01,connector_1781770935874_97,292.02472955474957,0.3,0.0050000019729491895,1e-06,0.9998000000789179,0.12237570441073208,0.19029132426768638,0.0030795691054868995,-0.00011638659647890473,0,0,suspect,no_upstream_depth_response
PIPE_SEWER_LATERAL_V_02,pipe_free_1781708418875,pipeSegment,오수 연결관 수직 02,sewer,CONDUIT,ELBOW_SEWER_02,connector_1781771440709_98,293.7088317871094,0.3,0.005000007484844536,1e-06,0.9998000002993933,0.06568490187689077,0.1738821586881378,0.0028001491912048922,-4.1836213672209474e-05,0,0,suspect,no_upstream_depth_response
PIPE_SEWER_LATERAL_V_03,pipe_free_1781761803174,pipeSegment,오수 연결관 수직 03,sewer,CONDUIT,ELBOW_SEWER_03,connector_1781771816146_102,143.1388852626534,0.3,0.0050128322890784175,1e-06,0.9998005119775942,0.05119586016966367,0.22612071235845352,0.004132428345372639,-6.565299407819841e-05,0,0,suspect,no_upstream_depth_response
