linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,meanFlowCms,meanAbsFlowCms,tailMeanFlowCms,tailMeanAbsFlowCms,maxAbsFlowCms,maxFullness,maxCapacityRatio,finalFlowCms,finalFullness,reverseCount,uiReverseCount
PIPE_COMB_MAIN_01,pipe_free_1781761867795,pipeSegment,합류식 본관 01,combined,2.4539796424711004e-05,2.4539796424711004e-05,5.539508717231863e-05,5.539508717231863e-05,6.69746167758262e-05,0.04499895591941402,0.0003449321706461685,6.69746167758262e-05,0.04499895591941402,0,0
PIPE_INTERCEPTOR_01,pipe_free_1781754392036,pipeSegment,차집관거 01,sewer,-5.684542975382444e-07,5.684542975382444e-07,-1.7603484278224026e-06,1.7603484278224026e-06,2.4085594509545153e-06,0.004026564989597415,3.1767582690203855e-06,-2.4085594509545153e-06,0.004026564989597415,0,0
PIPE_OVERFLOW_INTERCEPTOR_DROP_01,pipe_free_1781762361073,pipeSegment,월류 차집 연결관 01,combined,0.0021733343245559367,0.0021733343245559367,0.0054515312664658545,0.0054515312664658545,0.006262480843335299,0.021453019018967553,0.0009586106148261627,0.006262480843335299,0.021453019018967553,0,0
PIPE_OVERFLOW_OUTFALL_PIPE_01,pipe_free_1781762108006,pipeSegment,월류 방류관 01,overflow,4.21509838188166e-08,4.21509838188166e-08,1.4346906315567223e-07,1.4346906315567223e-07,1.8840140766371116e-07,0.0007975790676441705,2.484911590841515e-07,1.8840140766371116e-07,0.0007975790676441705,0,0
PIPE_SEWER_LATERAL_H_01,pipe_free_1781708303838,pipeSegment,오수 연결관 수평 01,sewer,0.004876729427234946,0.004876729427234946,0.00499999994366657,0.00499999994366657,0.005648427360003265,0.05218540003266299,0.005897687299939109,0.004999999994303468,0.050658599962456155,0,0
PIPE_SEWER_LATERAL_H_02,pipe_free_1781754189032,pipeSegment,오수 연결관 수평 02,sewer,0.0048492290038832184,0.0048492290038832184,0.004999999573319656,0.004999999573319656,0.005206326189871809,0.05589147379613485,0.006723210169598582,0.004999999967539461,0.05409255281272477,0,0
PIPE_SEWER_LATERAL_H_03,pipe_free_1781761760089,pipeSegment,오수 연결관 수평 03,sewer,0.004805838655430421,0.004805838655430421,0.004997873283838243,0.004997873283838243,0.0051827237601069585,0.0604623542634929,0.008115278332508682,0.004999988816459954,0.056665335962959376,0,0
PIPE_SEWER_LATERAL_H_04,pipeSegment_copy_1781761822423_1,pipeSegment,오수 연결관 수평 04,sewer,0.004815011777911939,0.004815011777911939,0.005000000000000221,0.005000000000000221,0.00517576662681653,0.05789781878992256,0.007832558616797632,0.004999999999999799,0.056048779605254374,0,0
PIPE_SEWER_LATERAL_V_01,pipe_free_1781708355304,pipeSegment,오수 연결관 수직 01,sewer,0.004593079297550217,0.004593079297550217,0.0050000019729491895,0.0050000019729491895,0.005425491191800919,0.12237570441073208,0.005059986917429785,0.005000000206932509,0.12237570441073208,0,0
PIPE_SEWER_LATERAL_V_02,pipe_free_1781708418875,pipeSegment,오수 연결관 수직 02,sewer,0.004541833236918129,0.004541833236918129,0.005000007484844536,0.005000007484844536,0.00529349512871784,0.06568490187689077,0.0049453783680235225,0.005000000575461592,0.06568490187689077,0,0
