scenario,sensor_type,id,max_depth_m,time_of_max_depth,max_flow_cms,time_of_max_flow,min_flow_cms,time_of_min_flow,max_velocity_mps,time_of_max_velocity,max_fullness_ratio,time_of_max_fullness,max_flooding_cms,time_of_max_flooding
backflow,link,STORM_TO_PUMP,0.48731,2026-06-09T02:27:00,0.30419,2026-06-09T01:25:00,-0.00781,2026-06-09T02:24:00,1.01872,2026-06-09T01:09:00,0.48382,2026-06-09T02:27:00,0.0,2026-06-09T00:01:00
backflow,link,COMB_MAIN_1,0.26294,2026-06-09T01:23:00,0.13905,2026-06-09T01:23:00,0.02463,2026-06-09T00:01:00,0.75853,2026-06-09T01:22:00,0.16218,2026-06-09T01:23:00,0.0,2026-06-09T00:01:00
backflow,link,INTERCEPTOR,0.33186,2026-06-09T01:38:00,0.1372,2026-06-09T01:27:00,0.02141,2026-06-09T00:01:00,0.65593,2026-06-09T00:16:00,0.2901,2026-06-09T01:38:00,0.0,2026-06-09T00:01:00
backflow,link,CSO_WEIR,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,1.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00
backflow,link,OVF_PIPE,0.6507,2026-06-09T01:41:00,0.03615,2026-06-09T01:42:00,-0.02035,2026-06-09T01:35:00,0.06864,2026-06-09T01:42:00,0.68883,2026-06-09T01:41:00,0.0,2026-06-09T00:01:00
backflow,link,PUMP_STATION,0.0,2026-06-09T00:01:00,0.38524,2026-06-09T00:54:00,0.0,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,1.0,2026-06-09T00:54:00,0.0,2026-06-09T00:01:00
backflow,link,PUMP_FORCE_OUT,0.76326,2026-06-09T01:40:00,0.37007,2026-06-09T00:55:00,-0.08585,2026-06-09T02:13:00,1.627,2026-06-09T00:55:00,0.98333,2026-06-09T01:40:00,0.0,2026-06-09T00:01:00
backflow,link,TREATED_OUT,0.31701,2026-06-09T01:45:00,0.12553,2026-06-09T01:45:00,0.02152,2026-06-09T00:01:00,0.67678,2026-06-09T01:45:00,0.36896,2026-06-09T01:45:00,0.0,2026-06-09T00:01:00
backflow,node,CB1,0.1474,2026-06-09T01:20:00,0.06982,2026-06-09T01:20:00,2e-05,2026-06-09T03:00:00,0.0,2026-06-09T00:01:00,0.12283,2026-06-09T01:20:00,0.0,2026-06-09T00:01:00
backflow,node,CB2,0.158,2026-06-09T01:20:00,0.06982,2026-06-09T01:20:00,2e-05,2026-06-09T03:00:00,0.0,2026-06-09T00:01:00,0.13167,2026-06-09T01:20:00,0.0,2026-06-09T00:01:00
backflow,node,CB3,1.7,2026-06-09T00:59:00,0.06982,2026-06-09T01:20:00,2e-05,2026-06-09T03:00:00,0.0,2026-06-09T00:01:00,1.41667,2026-06-09T00:59:00,0.0348,2026-06-09T01:20:00
backflow,node,CB4,0.14903,2026-06-09T01:20:00,0.06982,2026-06-09T01:20:00,2e-05,2026-06-09T03:00:00,0.0,2026-06-09T00:01:00,0.1242,2026-06-09T01:20:00,0.0,2026-06-09T00:01:00
backflow,node,CB5,0.14834,2026-06-09T01:20:00,0.06982,2026-06-09T01:20:00,2e-05,2026-06-09T03:00:00,0.0,2026-06-09T00:01:00,0.12362,2026-06-09T01:20:00,0.0,2026-06-09T00:01:00
backflow,node,SMH1,0.25589,2026-06-09T01:22:00,0.13942,2026-06-09T01:20:00,5e-05,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.10236,2026-06-09T01:22:00,0.0,2026-06-09T00:01:00
backflow,node,SMH2,0.37796,2026-06-09T01:24:00,0.24138,2026-06-09T01:21:00,3e-05,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.15118,2026-06-09T01:24:00,0.0,2026-06-09T00:01:00
backflow,node,SMH3,0.27815,2026-06-09T01:25:00,0.30492,2026-06-09T01:24:00,3e-05,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.11126,2026-06-09T01:25:00,0.0,2026-06-09T00:01:00
backflow,node,COMB2,0.24511,2026-06-09T01:27:00,0.13905,2026-06-09T01:23:00,0.02463,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.08754,2026-06-09T01:27:00,0.0,2026-06-09T00:01:00
backflow,node,PUMP_WETWELL,0.80017,2026-06-09T02:27:00,0.30419,2026-06-09T01:25:00,0.0,2026-06-09T02:24:00,0.0,2026-06-09T00:01:00,0.26672,2026-06-09T02:27:00,0.0,2026-06-09T00:01:00
backflow,node,WWTP_STORAGE,0.42626,2026-06-09T01:45:00,0.1372,2026-06-09T01:27:00,0.02141,2026-06-09T00:01:00,0.0,2026-06-09T00:01:00,0.10656,2026-06-09T01:45:00,0.0,2026-06-09T00:01:00
