time,outfall_gate_setting,inlet_gate_setting,pump_setting,pump_station_depth_m,pump_station_full_ratio,pump_station_operating_ratio,discharge_pipe_depth_m,discharge_pipe_full_ratio,discharge_node_depth_m,trunk_downstream_depth_m,trunk_drop_depth_m,pump_flow_cms,inlet_gate_flow_cms,outfall_gate_flow_cms
00:01:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:02:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:03:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:04:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:05:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:06:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:07:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:08:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:09:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:10:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:11:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0,0.0,0.0,0.0,0.0
00:12:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,1.0517991922934252e-05,0.00011356737378883271,0.0,0.0,0.0
00:13:00,1.0,1.0,0.0,0.0,0.0,0.0,3.0480000000000003e-05,1.6933333333333336e-05,0.0,7.470509879917851e-05,0.0002260333181175799,0.0,0.0,0.0
00:14:00,1.0,1.0,0.0,6.437893052539105e-07,2.6824554385579605e-07,8.04736631567388e-07,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.00014115292272686968,0.0003261010431252651,0.0,8.454648717584291e-07,0.0
00:15:00,1.0,1.0,0.0,3.656632842631644e-06,1.5235970177631851e-06,4.570791053289555e-06,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.00022881677235326615,0.00046188991759539994,0.0,1.6939721181791024e-06,0.0
00:16:00,1.0,1.0,0.0,8.800195521736317e-06,3.666748134056799e-06,1.1000244402170397e-05,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.00032032492377107686,0.000655842726078581,0.0,2.5938658980079007e-06,0.0
00:17:00,1.0,1.0,0.0,1.610238805968827e-05,6.709328358203446e-06,2.0127985074610338e-05,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0004200662210460643,0.0009334192298315942,0.0,3.503526030407636e-06,0.0
00:18:00,1.0,1.0,0.0,2.56709654118978e-05,1.069623558829075e-05,3.208870676487225e-05,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0005325224972418612,0.0013020654877776592,0.0,4.492980170132957e-06,0.0
00:19:00,1.0,1.0,0.0,3.775278419983953e-05,1.573032674993314e-05,4.7190980249799416e-05,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0006593613637102571,0.0017801327919360844,0.0,5.603216611898367e-06,0.0
00:20:00,1.0,1.0,0.0,5.266919969393347e-05,2.194549987247228e-05,6.583649961741683e-05,3.0480000000000003e-05,1.6933333333333336e-05,0.0,0.0008026620581128869,0.0024125469360177453,0.0,6.8607300946285005e-06,0.0
