scenario,object_type,id,max_depth_m,max_flow_cms,min_flow_cms,max_velocity_mps,max_abs_velocity_mps,max_fullness_ratio,max_capacity_ratio,backflow_count
overflow,pipe,comb_sewer_lateral_house_2,0.1112,0.0473,0.0435,1.2035,1.2035,0.2471,0.0896,0
overflow,pipe,comb_storm_lateral_catch_basin_1,0.2622,0.2128,0.0,2.2962,2.2962,0.5826,0.4483,0
overflow,pipe,comb_main_1,1.1582,1.3171,0.0481,1.2066,1.2066,0.9651,1.1969,0
overflow,pipe,comb_main_2,1.208,1.8556,0.1311,1.6298,1.6298,1.0066,1.3452,0
overflow,pipe,overflow_to_interceptor_drop,0.8645,1.2279,0.1311,2.3337,2.3337,0.91,1.0,0
overflow,pipe,overflow_pipe,0.8439,1.6169,0.0,1.8071,1.8071,0.6251,0.5094,0
overflow,pipe,comb_storm_lateral_catch_basin_2,0.2805,0.2357,0.0,2.3782,2.3782,0.6233,0.5068,0
overflow,asset,sep_catch_basin_1,0.3258,0.1612,0.0,0.0,0.0,0.2715,0.2715,0
overflow,asset,sep_catch_basin_2,0.3639,0.1762,0.0,0.0,0.0,0.3032,0.3032,0
overflow,asset,comb_catch_basin_1,0.4411,0.2128,0.0,0.0,0.0,0.3676,0.3676,0
overflow,asset,comb_catch_basin_2,0.4987,0.2357,0.0,0.0,0.0,0.4156,0.4156,0
overflow,asset,sep_sewer_manhole,0.8227,0.2255,0.2075,0.0,0.0,0.2285,0.2285,0
overflow,asset,sep_storm_manhole,2.3143,0.9975,0.0,0.0,0.0,0.7232,0.7232,0
overflow,asset,combined_manhole,4.13,1.8556,0.1311,0.0,0.0,1.18,1.18,0
overflow,asset,overflow_chamber,3.304,1.8556,0.1311,0.0,0.0,1.18,1.18,0
overflow,asset,storm_pump_station,2.1396,0.9975,0.0,0.0,0.0,0.6484,0.6484,0
overflow,asset,water_reclamation_center,3.5243,1.25,0.3385,0.0,0.0,0.8811,0.8811,0
overflow,asset,overflow_outfall,0.5094,1.6169,0.0,0.0,0.0,0.5094,0.5094,0
overflow,asset,pump_outfall,0.297,0.9975,0.0,0.0,0.0,0.297,0.297,0
overflow,asset,treated_outfall,0.9615,1.25,0.3385,0.0,0.0,0.9615,0.9615,0
backflow,pipe,sep_sewer_lateral_apartment_1,0.1079,0.0475,0.0437,1.2452,1.2452,0.2398,0.0844,0
backflow,pipe,sep_sewer_lateral_apartment_2,0.106,0.045,0.0414,1.2015,1.2015,0.2355,0.0814,0
backflow,pipe,sep_storm_lateral_catch_basin_1,0.2055,0.1397,0.0,1.9246,1.9246,0.4566,0.2869,0
backflow,pipe,sep_storm_lateral_catch_basin_2,0.2182,0.1528,0.0,1.9809,1.9809,0.4849,0.3205,0
backflow,pipe,sep_storm_trunk,0.7801,0.8645,0.0,0.8819,0.8819,0.4876,0.3238,0
backflow,pipe,sep_interceptor,1.2542,1.1106,0.3077,0.7046,0.7046,0.7839,0.7659,0
backflow,pipe,sep_storm_main_1,0.7411,0.572,0.0,0.8189,0.8189,0.6176,0.4984,0
backflow,pipe,sep_storm_main_2,0.9034,0.8645,0.0,1.0154,1.0154,0.7528,0.7123,0
backflow,pipe,sep_storm_main_to_trunk,0.6534,0.8645,0.0,1.4039,1.4039,0.5445,0.3964,0
backflow,pipe,sep_sewer_main_1,0.332,0.1125,0.1035,0.4109,0.4109,0.3162,0.1442,0
backflow,pipe,sep_sewer_main_2,0.4315,0.205,0.1886,0.5761,0.5761,0.4109,0.2361,0
backflow,pipe,sep_sewer_main_to_interceptor,0.3049,0.205,0.1886,0.8153,0.8153,0.2904,0.1225,0
backflow,pipe,storm_pump_discharge_pipe,0.5622,0.8126,-0.403,1.3632,1.3632,0.4164,0.242,79
backflow,pipe,treatment_effluent_pipe,1.0978,1.0633,-0.2221,0.9135,0.9135,0.8132,0.8179,79
backflow,pipe,comb_sewer_lateral_house_1,0.0999,0.039,0.0359,1.1043,1.1043,0.2221,0.0725,0
backflow,pipe,comb_sewer_lateral_house_2,0.1059,0.043,0.0396,1.1483,1.1483,0.2354,0.0814,0
backflow,pipe,comb_storm_lateral_catch_basin_1,0.1999,0.1295,0.0,1.8326,1.8326,0.4443,0.2729,0
backflow,pipe,comb_main_1,0.7433,0.5514,0.0437,0.7871,0.7871,0.6194,0.5011,0
backflow,pipe,comb_main_2,0.8636,0.9061,0.1191,1.1133,1.1133,0.7197,0.6569,0
backflow,pipe,overflow_to_interceptor_drop,0.5584,0.9061,0.1191,2.1751,2.1751,0.5877,0.4556,0
backflow,pipe,overflow_pipe,0.353,0.0,-0.3174,0.0,0.8481,0.2615,0.1,79
backflow,pipe,comb_storm_lateral_catch_basin_2,0.2137,0.1435,0.0,1.9001,1.9001,0.4749,0.3085,0
backflow,asset,sep_catch_basin_1,0.2823,0.1397,0.0,0.0,0.0,0.2353,0.2353,0
backflow,asset,sep_catch_basin_2,0.3154,0.1528,0.0,0.0,0.0,0.2628,0.2628,0
backflow,asset,comb_catch_basin_1,0.2685,0.1295,0.0,0.0,0.0,0.2237,0.2237,0
backflow,asset,comb_catch_basin_2,0.3035,0.1435,0.0,0.0,0.0,0.2529,0.2529,0
backflow,asset,sep_sewer_manhole,0.7479,0.205,0.1886,0.0,0.0,0.2078,0.2078,0
backflow,asset,sep_storm_manhole,2.0057,0.8645,0.0,0.0,0.0,0.6268,0.6268,0
backflow,asset,combined_manhole,2.0233,0.9061,0.1191,0.0,0.0,0.5781,0.5781,0
backflow,asset,overflow_chamber,1.6186,0.9061,0.1191,0.0,0.0,0.5781,0.5781,79
backflow,asset,storm_pump_station,1.8544,0.8126,-0.403,0.0,0.0,0.5619,0.5619,79
backflow,asset,water_reclamation_center,2.701,1.0633,-0.2221,0.0,0.0,0.6752,0.6752,79
backflow,asset,overflow_outfall,0.1,0.0,-0.3174,0.0,0.0,0.1,0.1,79
backflow,asset,pump_outfall,0.242,0.8126,-0.403,0.0,0.0,0.242,0.242,79
backflow,asset,treated_outfall,0.8179,1.0633,-0.2221,0.0,0.0,0.8179,0.8179,79
