linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,meanFlowCms,meanAbsFlowCms,tailMeanFlowCms,tailMeanAbsFlowCms,maxAbsFlowCms,maxFullness,maxCapacityRatio,finalFlowCms,finalFullness,reverseCount,uiReverseCount
PIPE_COMB_MAIN_01,pipe_free_1781761867795,pipeSegment,합류식 본관 01,combined,-0.00021768450407893395,0.00021768450407893395,-0.0005025414181268588,0.0005025414181268588,0.0006000694220634617,0.04425049445498849,0.0010676622097383764,-0.0006000694220634617,0.04425049445498849,61,0
PIPE_INTERCEPTOR_01,pipe_free_1781754392036,pipeSegment,차집관거 01,sewer,-3.965312058915959e-05,3.965312058915959e-05,-9.647163909517671e-05,9.647163909517671e-05,0.00011803252940575723,0.0028831985730090313,3.4729615806794527e-05,-0.00011803252940575723,0.0028831985730090313,0,0
PIPE_OVERFLOW_INTERCEPTOR_DROP_01,pipe_free_1781762361073,pipeSegment,월류 차집 연결관 01,combined,0.0037213802160272866,0.0037213802160272866,0.005576340187062457,0.005576340187062457,0.005582303942659,0.021493910519433716,0.000860279191417931,0.005562234041974112,0.021493910519433716,0,0
PIPE_OVERFLOW_OUTFALL_PIPE_01,pipe_free_1781762108006,pipeSegment,월류 방류관 01,overflow,1.2283128755473194e-07,1.2283128755473194e-07,2.83101529790733e-07,2.83101529790733e-07,3.2024983928109966e-07,0.0010635137532867078,4.2239203382980777e-07,3.2024983928109966e-07,0.0010635137532867078,0,0
PIPE_SEWER_LATERAL_H_01,pipe_free_1781708303838,pipeSegment,오수 연결관 수평 01,sewer,0.004682185565110041,0.004682185565110041,0.0049999994599831555,0.0049999994599831555,0.0050343666256946525,0.10381118398494688,0.040370397074848366,0.005000000010287557,0.10213875413540018,0,0
PIPE_SEWER_LATERAL_H_02,pipe_free_1781754189032,pipeSegment,오수 연결관 수평 02,sewer,0.004670497140543924,0.004670497140543924,0.00499998464535842,0.00499998464535842,0.005049565147043974,0.09171466306986736,0.028423404355542546,0.004999999978027002,0.08987259335065846,0,0
PIPE_SEWER_LATERAL_H_03,pipe_free_1781761760089,pipeSegment,오수 연결관 수평 03,sewer,0.0045314662221879,0.0045314662221879,0.004990192517767712,0.004990192517767712,0.004994985299891487,0.09884490074772022,0.034092305617934145,0.004994985299891487,0.09604776485704225,0,0
PIPE_SEWER_LATERAL_H_04,pipeSegment_copy_1781761822423_1,pipeSegment,오수 연결관 수평 04,sewer,0.004560816732748221,0.004560816732748221,0.005000000013287576,0.005000000013287576,0.005000000028708989,0.09480687513180852,0.032981907935261366,0.005000000004161419,0.09480687505869333,0,0
PIPE_SEWER_LATERAL_V_01,pipe_free_1781708355304,pipeSegment,오수 연결관 수직 01,sewer,0.0043930246491218124,0.0043930246491218124,0.004999998606707991,0.004999998606707991,0.005244025230195652,0.05078405458138992,0.004828215618067223,0.00499999987498083,0.05078405458138992,0,0
PIPE_SEWER_LATERAL_V_02,pipe_free_1781708418875,pipeSegment,오수 연결관 수직 02,sewer,0.004356576782386152,0.004356576782386152,0.0049999833785882766,0.0049999833785882766,0.0052197912719456315,0.05111880212712368,0.004814314382478388,0.004999996716992861,0.05111880212712368,0,0
PIPE_SEWER_LATERAL_V_03,pipe_free_1781761803174,pipeSegment,오수 연결관 수직 03,sewer,0.004338032829903548,0.004338032829903548,0.005038841628355844,0.005038841628355844,0.005098212986621306,0.04809238900623155,0.004260957333197072,0.004997882261935893,0.04809238900623155,0,0
PIPE_SEWER_LATERAL_V_04,pipeSegment_copy_1781761822423_2,pipeSegment,오수 연결관 수직 04,sewer,0.0043642100609062266,0.0043642100609062266,0.0049999998296497,0.0049999998296497,0.00516313666202827,0.10813020865037812,0.004317957375291267,0.0050000000059006585,0.10813020865037812,0,0
PIPE_SEWER_MAIN_01,pipe_free_1781748895553,pipeSegment,오수 본관 01,sewer,-0.00166448791719813,0.00166448791719813,-0.0023763758246995153,0.0023763758246995153,0.002380360204803254,0.13125220501041873,0.0012290103367851835,-0.002380360204803254,0.13125220501041873,481,0
PIPE_SEWER_MAIN_02,pipe_free_1781752695385,pipeSegment,오수 본관 02,sewer,0.0010408085638968802,0.0010408085638968802,0.001698593648537829,0.001698593648537829,0.0017317811588883098,0.01942517807261993,0.000984694932634553,0.0017317811588883098,0.01942517807261993,0,0
PIPE_SEWER_MAIN_DROP_01,pipe_free_1781754376482,pipeSegment,오수 본관 하강관 01,sewer,0.0005890747618047264,0.0005890747618047264,0.0013040867091520688,0.0013040867091520688,0.0014484101650307135,0.009318763706839945,0.00021437779738249594,0.0014484101650307135,0.009318763706839945,0,0
PIPE_STORM_LATERAL_H_01,pipe_free_1781761457323,pipeSegment,우수 연결관 수평 01,storm,0.010753915663745442,0.010753915663745442,0.011111111110940793,0.011111111110940793,0.011972799546511374,0.08540687095796716,0.017355511359584366,0.011111111111110532,0.08069459592961813,0,0
PIPE_STORM_LATERAL_H_02,pipeSegment_copy_1781761504445_1,pipeSegment,우수 연결관 수평 02,storm,0.010708271410066363,0.010708271410066363,0.011110945829579073,0.011110945829579073,0.011587818298716033,0.0879898315365905,0.01982665281415297,0.0111109748765813,0.08559781441251108,0,0
PIPE_STORM_LATERAL_H_03,pipeSegment_copy_1781761845125_1,pipeSegment,우수 연결관 수평 03,storm,0.010752257593939132,0.010752257593939132,0.011111111111110999,0.011111111111110999,0.011986479168706375,0.0829150443890601,0.01737534104415211,0.011111111111110045,0.07974486293335178,0,0
PIPE_STORM_LATERAL_H_04,pipeSegment_copy_1781763961700_1,pipeSegment,우수 연결관 수평 04,storm,0.010567465940814659,0.010567465940814659,0.011111111111111021,0.011111111111111021,0.01119176958118095,0.09400035176159782,0.025215035949111134,0.01111111111111204,0.09342763095602279,0,0
PIPE_STORM_LATERAL_V_01,pipe_free_1781761477346,pipeSegment,우수 연결관 수직 01,storm,0.010473349798678436,0.010473349798678436,0.011111111112065327,0.011111111112065327,0.011456527821248888,0.07418944692929563,0.009758547311737113,0.011111111111113448,0.07418944692929563,0,0
PIPE_STORM_LATERAL_V_02,pipeSegment_copy_1781761504445_2,pipeSegment,우수 연결관 수직 02,storm,0.010387974915887941,0.010387974915887941,0.01111292847777418,0.01111292847777418,0.011630953997170672,0.06671895170127835,0.009915420131490327,0.011112605261412382,0.06649164308049377,0,0
PIPE_STORM_LATERAL_V_03,pipeSegment_copy_1781761845125_2,pipeSegment,우수 연결관 수직 03,storm,0.01055434750836249,0.01055434750836249,0.011111111111111495,0.011111111111111495,0.011723886023665562,0.08003473548002604,0.009222824604425526,0.011111111111118014,0.08003473548002604,0,0
