linkId,sourceEditorId,sourceEditorType,sourceEditorName,pipeKind,kind,fromNode,toNode,lengthM,diameterM,baselineTailAbsFlowCms,blockedTailAbsFlowCms,flowReduction,baselineMaxFullness,blockedMaxFullness,upstreamDepthDelta,downstreamDepthDelta,reverseCount,uiReverseCount,status,issues
PIPE_STORM_LATERAL_H_03,pipeSegment_copy_1781761845125_1,pipeSegment,우수 연결관 수평 03,storm,CONDUIT,CONN_STORM_03,ELBOW_STORM_03,28.0,0.3,0.011111111111110999,1e-06,0.99991,0.0829150443890601,0.5002517175924187,0.024648758451748902,-0.0005425055544336405,0,0,pass,
PIPE_STORM_LATERAL_H_04,pipeSegment_copy_1781763961700_1,pipeSegment,우수 연결관 수평 04,storm,CONDUIT,CONN_STORM_04,ELBOW_STORM_04,67.63886147561561,0.3,0.011111111111111021,1e-06,0.99991,0.09400035176159782,0.5002297234116531,0.016909584437161524,-0.0005150418475197955,0,0,suspect,no_upstream_depth_response
PIPE_STORM_LATERAL_V_01,pipe_free_1781761477346,pipeSegment,우수 연결관 수직 01,storm,CONDUIT,ELBOW_STORM_01,connector_1781771589602_100,158.8280814539936,0.3,0.011111111112065327,1e-06,0.9999100000000077,0.07418944692929563,0.48283935091003427,0.006595081339199986,-8.719320645319753e-05,0,0,suspect,no_upstream_depth_response
PIPE_STORM_LATERAL_V_02,pipeSegment_copy_1781761504445_2,pipeSegment,우수 연결관 수직 02,storm,CONDUIT,ELBOW_STORM_02,connector_1781771680494_101,159.153076171875,0.3,0.01111292847777418,1e-06,0.9999100147182626,0.06671895170127835,0.4502885891826809,0.00614951954794563,-6.931644828389676e-05,0,0,suspect,no_upstream_depth_response
PIPE_STORM_LATERAL_V_03,pipeSegment_copy_1781761845125_2,pipeSegment,우수 연결관 수직 03,storm,CONDUIT,ELBOW_STORM_03,teeConnector_copy_1781771853047_1,104.38888526265339,0.3,0.011111111111111495,1e-06,0.99991,0.08003473548002604,0.5038135974675901,0.38246256907371573,-0.00011739819397940642,0,0,pass,
PIPE_STORM_LATERAL_V_04,pipeSegment_copy_1781763961700_2,pipeSegment,우수 연결관 수직 04,storm,CONDUIT,ELBOW_STORM_04,connector_1781771938741_105,104.7523517154923,0.3,0.011111111111110737,1e-06,0.99991,0.06214182920908672,0.5000509303409497,0.3132372383415907,-7.543163849695786e-05,0,0,pass,
PIPE_STORM_MAIN_01,pipe_free_1781761486031,pipeSegment,우수 본관 01,storm,CONDUIT,PIPE_STORM_MAIN_01_station_000,connector_1781771589602_100,1048.5194947122122,0.6,0.0022810538542949173,1e-06,0.9995616061417765,0.07248938640003531,0.07037140745786566,-1.6958147536667368e-05,8.78455959843621e-06,0,0,suspect,no_upstream_depth_response
PIPE_STORM_MAIN_02,pipe_free_1781761613473,pipeSegment,우수 본관 02,storm,CONDUIT,CONN_STORM_09,connector_1781771680494_101,99.94269191371063,0.6,0.004662254674646892,1e-06,0.9997855115025274,0.24974523405819923,0.22410149920506298,-0.0001245116404258959,1.9990956344705986e-05,0,0,suspect,no_upstream_depth_response
PIPE_STORM_MAIN_DROP_01,pipe_free_1781761648013,pipeSegment,우수 본관 하강관 01,storm,CONDUIT,ELBOW_STORM_05,connector_1781772095944_106,331.67072998046876,0.6,0.006587043026139208,1e-06,0.999848186812196,0.02250572509484323,0.058946115110917394,0.00017314876652631462,-1.6893404023058216e-05,0,0,suspect,no_upstream_depth_response
PIPE_STORM_TRUNK_01,pipe_free_1781761655573,pipeSegment,우수 간선관거 01,storm,CONDUIT,PIPE_STORM_TRUNK_01_station_000,connector_1781772095944_106,1681.8753853153437,1.0,0.0007331897548168956,1e-06,0.9986360965992361,0.0260262180496331,0.02599513226126528,-9.172396721173016e-07,8.6498557532996e-07,0,0,suspect,no_upstream_depth_response
PIPE_STORM_TRUNK_02,pipe_free_1781762167610,pipeSegment,우수 간선관거 02,storm,CONDUIT,CONN_STORM_13,CONN_STORM_14,1906.34418039932,1.0,4.4813515428960234e-05,1e-06,,0.017838337946506546,0.017802527787695095,6.026092522669959e-08,-1.789142245745973e-07,0,0,inconclusive_no_baseline_flow,
PIPE_TREATED_OUTFALL_PIPE_01,pipe_free_1781762695368,pipeSegment,처리수 방류관 01,treated,CONDUIT,CONN_TREATED_01,CONN_TREATED_02,397.15677248477823,0.6,1.938014368932629e-08,1.938014368932629e-08,,0.0010022103690948921,0.0010022103690948921,0.0,0.0,0,0,inconclusive_no_baseline_flow,
REL_001_CONDUIT,link_1781708325059,relation,관계 001: 아파트 01 → 오수 커넥터 01,sewer,CONDUIT,APT_01,CONN_SEWER_01,5.0,1.2,0.004999999908803757,1e-06,0.9997999999963522,0.042788947888711334,0.5001836881512901,1.6138054997015203,-0.030843536089521163,0,0,pass,
REL_006_CONDUIT,link_1781748792222,relation,관계 006: 오수 커넥터 09 → 오수 맨홀 01,sewer,CONDUIT,CONN_SEWER_09,MH_SEWER_01,5.0,1.2,0.0026060933222900747,1e-06,0.9996162838869019,0.07669111055462646,0.09431913002161094,0.00019838144165978616,-8.849177335736231e-05,0,0,suspect,no_upstream_depth_response
REL_009_CONDUIT,link_1781752693866,relation,관계 009: 오수 맨홀 01 → 오수 커넥터 10,sewer,CONDUIT,MH_SEWER_01,CONN_SEWER_10,5.0,1.2,0.0043198519953344785,1e-06,0.9997685105876127,0.14611588791857777,0.29572907376677693,0.001163872462068883,-0.00023930553841456772,0,0,suspect,no_upstream_depth_response
REL_015_CONDUIT,link_1781754212047,relation,관계 015: 아파트 02 → 오수 커넥터 02,sewer,CONDUIT,APT_02,CONN_SEWER_02,5.0,1.2,0.004999998246467798,1e-06,0.9997999999298587,0.03850485780967023,0.5001809397368413,1.616764822859968,-0.02598366648806561,0,0,pass,
REL_019_CONDUIT,link_1781754486444,relation,관계 019: 오수 커넥터 12 → 물재생센터 01,sewer,CONDUIT,CONN_SEWER_12,FAC_WATER_RECLAMATION_01,5.0,1.2,0.002274777879328998,1e-06,0.9995603966395633,0.01641878978719069,0.02506231564744008,2.415501945763368e-05,-0.0014349087032931073,0,0,suspect,no_upstream_depth_response
REL_021_CONDUIT,link_1781754504440,relation,관계 021: 물재생센터 01 → 처리수 커넥터 01,treated,CONDUIT,FAC_WATER_RECLAMATION_01,CONN_TREATED_01,5.0,1.2,1.5771028246545177e-05,1e-06,,0.002882488347683648,0.0024885584266476145,6.060661458710511e-06,-8.851976357606454e-07,0,0,inconclusive_no_baseline_flow,
REL_022_CONDUIT,link_1781761456041,relation,관계 022: 빗물받이 01 → 우수 커넥터 01,storm,CONDUIT,CATCH_BASIN_01,CONN_STORM_01,5.0,1.2,0.011111111111079984,1e-06,0.9999099999999997,0.03742268400283581,0.5001804926110937,0.9495238440019765,-0.001146458446039535,0,0,pass,
